model,experiment_date,dataset,seed,split,threshold,train_macro_f1,validation_macro_f1,validation_auc,test_macro_f1,test_auc,training_seconds,status,source_file
cola,2026-08-26,iran,5,0,0.7699078917503357,0.7963800904977376,0.677438321811167,0.7754179030174635,0.673687165869602,0.7715597499839665,13.192625504001626,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,russia,1,0,0.9121200442314148,1.0,0.6948845409799935,0.730360297303603,0.603688984812405,0.6244343891402714,0.3980866630008677,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,russia,2,0,0.7871218323707581,1.0,0.640575066543176,0.6772656067726561,0.6207964422882555,0.6565709944842619,0.4280860539984132,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,russia,3,0,0.8284098505973816,1.0,0.6165750240916048,0.6871646168716461,0.6138837140896166,0.6530369587475641,0.4186650919982639,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,russia,4,0,0.8479334712028503,1.0,0.5805040847153353,0.6587674565876747,0.601561275355049,0.6861974436040559,0.4170717590022832,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,russia,5,0,0.3886958658695221,1.0,0.3014830025096965,0.6684664866846648,0.3050043140638481,0.6844799682927635,0.4178776320004544,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,venezuela,1,0,0.7468895316123962,0.625,0.3529652191000196,0.7097620055500683,0.3374640155709141,0.7026206942746621,3.39281924199895,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,venezuela,2,0,0.8390825986862183,0.7777777777777777,0.4124126347942638,0.5571418492612228,0.3974833232261976,0.5120133295376526,3.396965961001115,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,venezuela,3,0,0.919593870639801,0.7777777777777777,0.465119754859976,0.590773179597788,0.4913842000062789,0.6267469899693554,3.3135364100016886,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,venezuela,4,0,0.9038543701171876,0.4545454545454545,0.496024176967475,0.5884516922332641,0.5053530439549145,0.5876592929986436,3.302212169000996,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
cola,2026-08-26,venezuela,5,0,0.8794228434562683,0.7777777777777777,0.5041488093599309,0.6904946683061541,0.5032080226054533,0.6939782641458879,3.349382524000248,ok,artifacts/results/low_data_exps/cola_refactoring_2026-08-26/results.csv
dominant,2026-08-27,UAE,1,0,0.4102484445815498,1.0,0.7578905040949868,0.9349921789280188,0.7539392112391157,0.9250144499872304,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,UAE,2,0,0.1726508653860505,1.0,0.663596412955374,0.9356384746705678,0.6546791423508387,0.924493578354512,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,UAE,3,0,0.2623956199875137,1.0,0.8374761281481705,0.9315585714699842,0.8328341586471083,0.9285437259381026,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,UAE,4,0,0.2655976164210219,1.0,0.8420382626395267,0.9278126373750742,0.839111144141106,0.9324414666796342,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,UAE,5,0,0.3708487777499955,0.898989898989899,0.831596052734157,0.9332631640812852,0.8193146726772647,0.9270678900330274,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,china,1,0,0.3395329565535637,1.0,0.594558466880464,0.7380706448853439,0.5823133910393723,0.6757467383572926,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,china,2,0,0.2372270266843387,0.4893617021276595,0.553133817744107,0.7148325298114873,0.5418704368496775,0.7013907607067984,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,china,3,0,0.2978896389045896,1.0,0.5709836628926925,0.6868988131352726,0.5804491013841575,0.7267791629230308,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,china,4,0,0.2557092454378281,1.0,0.5551515822745784,0.7274113354055884,0.5607847592216024,0.6866588518268942,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,china,5,0,0.1334690655292644,0.55,0.3978959822763308,0.7131613892962851,0.3947870120108014,0.7017173929320155,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,cuba,1,0,0.3040761385449214,1.0,0.6047356517049085,0.9759790536255374,0.6030112124270237,0.9706767170630508,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,cuba,2,0,0.3380190603869709,1.0,0.6622924003166687,0.9790685998167852,0.6685414844591345,0.96749067839738,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,cuba,3,0,0.4378089201207042,1.0,0.8289018739641176,0.9822955570431964,0.7799728517206905,0.9642901995070196,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,cuba,4,0,0.4123088297936437,1.0,0.7792477263318158,0.9692846698611798,0.7749391997937016,0.9772443938015556,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,cuba,5,0,0.3559812799560024,1.0,0.7055578624939388,0.970787382848284,0.6917662526994093,0.9757574882410628,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,iran,1,0,0.1695349883190134,0.5833333333333334,0.634692235960735,0.527640878198338,0.6444856252136172,0.5376028008058923,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,iran,2,0,0.1390581424765626,0.8500000000000001,0.5904218707618939,0.5276513172755763,0.5939483808570095,0.536552358793664,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,iran,3,0,0.3575864604905795,0.8295454545454546,0.5806877600018101,0.533371712293768,0.5798363100043753,0.5308674159039123,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,iran,4,0,0.1598693453246788,0.6590909090909092,0.6279377262502721,0.5300409887297441,0.6339696487426659,0.5350824652026884,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,iran,5,0,0.19824761360801,0.7204968944099379,0.6350751747955737,0.5331561321902982,0.6436639364309258,0.5316858729267488,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,russia,1,0,0.2112494571674694,1.0,0.7154817012858556,0.8603806286038063,0.72612484719429,0.8525283218284506,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,russia,2,0,0.2381822549705582,1.0,0.7460688000518756,0.8352831383528313,0.7895728491485164,0.8750866994748489,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,russia,3,0,0.4096419438728212,0.3333333333333333,0.7499591090585462,0.8573475985734761,0.7816151283374784,0.8576807477623278,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,russia,4,0,0.1470486715264262,1.0,0.4440082731839094,0.828350498283505,0.4486287758346581,0.8820226574627605,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,russia,5,0,0.1167444205781841,1.0,0.3827238335435056,0.8766456687664567,0.3499644746190889,0.8353865970868977,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,venezuela,1,0,0.136607234270176,1.0,0.5646157983622013,0.9385712941872106,0.5545084121149562,0.9360734799135924,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,venezuela,2,0,0.2606202568531056,1.0,0.8621330218128196,0.9303100243907356,0.8566134936754184,0.943816668620326,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,venezuela,3,0,0.1902664128708749,1.0,0.7069743796341592,0.9299001525260872,0.7123673707738682,0.9443542039955122,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,venezuela,4,0,0.2943714101719659,1.0,0.8659538107820597,0.9388249443985296,0.8436648041646122,0.9355258971482158,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
dominant,2026-08-27,venezuela,5,0,0.1984143720947294,1.0,0.7364742263096342,0.9488802435042027,0.7295670834110841,0.9254600867424686,0.0,ok,artifacts/results/low_data_exps/dominant_checkpoint_0_1_percent.csv
gadnr,2026-08-26,UAE,1,0,0.0749314427375793,0.898989898989899,0.730514938780903,0.838509556639135,0.722956064824223,0.8273470653677096,109.02184989200032,ok,artifacts/results/low_data_exps/gadnr_refactoring_2026-08-26/results.csv
gadnr,2026-08-26,UAE,2,0,0.0680187717080116,0.8,0.7599395326345699,0.8359387688890106,0.7500513318361568,0.8374960563988338,106.12181331399916,ok,artifacts/results/low_data_exps/gadnr_refactoring_2026-08-26/results.csv
gadnr,2026-08-26,UAE,3,0,0.0787522792816162,0.8901098901098901,0.7869774636412679,0.8348618078728551,0.7938736671269828,0.8388790842463908,102.7206866000015,ok,artifacts/results/low_data_exps/gadnr_refactoring_2026-08-26/results.csv
